EventTitle,DateTime,WeightClass,RedCorner,BlueCorner,RedCornerNation,BlueCornerNation
Strickland vs Magomedov,"
Sat, Jul 1 / 7:00 PM EDT / Main Card
",Lightweight Bout,Ismael Bonfim,Benoît Saint-Denis ,United States,Brazil
Strickland vs Magomedov,"
Sat, Jul 1 / 7:00 PM EDT / Main Card
",Women's Flyweight Bout,Ariane Lipski,Melissa Gatto,Brazil,Russia
Strickland vs Magomedov,"
Sat, Jul 1 / 7:00 PM EDT / Main Card
",Welterweight Bout,Max Griffin,Michael Morales,Brazil,Georgia
Strickland vs Magomedov,"
Sat, Jul 1 / 7:00 PM EDT / Main Card
",Lightweight Bout,Damir Ismagulov,Grant Dawson,Brazil,Norway
Strickland vs Magomedov,"
Sat, Jul 1 / 7:00 PM EDT / Main Card
",Middleweight Bout,Sean Strickland,Abus Magomedov,Bulgaria,Moldova
Emmett vs Topuria,"
Sat, Jun 24 / 3:00 PM EDT / Main Card
",Middleweight Bout,Cody Brundage,Sedriques Dumas,Georgia,United States
Emmett vs Topuria,"
Sat, Jun 24 / 3:00 PM EDT / Main Card
",Featherweight Bout,Jamall Emmers,Jack Jenkins,United States,Brazil
Emmett vs Topuria,"
Sat, Jun 24 / 3:00 PM EDT / Main Card
",Lightweight Bout,Trevor Peek,Chepe Mariscal,New Zealand,United States
Emmett vs Topuria,"
Sat, Jun 24 / 3:00 PM EDT / Main Card
",Flyweight Bout,Zhalgas Zhumagulov,Joshua Van,Brazil,Uganda
Emmett vs Topuria,"
Sat, Jun 24 / 3:00 PM EDT / Main Card
",Women's Strawweight Bout,Tabatha Ricci,Gillian Robertson,Brazil,United States
Emmett vs Topuria,"
Sat, Jun 24 / 3:00 PM EDT / Main Card
",Lightweight Bout,Mateusz Rębecki,Loik Radzhabov,United States,United States
Emmett vs Topuria,"
Sat, Jun 24 / 3:00 PM EDT / Main Card
",Welterweight Bout,Randy Brown,Wellington Turman,Brazil,Jamaica
Emmett vs Topuria,"
Sat, Jun 24 / 3:00 PM EDT / Main Card
",Welterweight Bout,Neil Magny,Phil Rowe,Tajikistan,Poland
Emmett vs Topuria,"
Sat, Jun 24 / 3:00 PM EDT / Main Card
",Middleweight Bout,Brendan Allen,Bruno Silva,Canada,Brazil
Emmett vs Topuria,"
Sat, Jun 24 / 3:00 PM EDT / Main Card
",Featherweight Bout,David Onama,Gabriel Santos,United States,Kazakhstan
Emmett vs Topuria,"
Sat, Jun 24 / 3:00 PM EDT / Main Card
",Heavyweight Bout,Austen Lane,Justin Tafa,United States,United States
Emmett vs Topuria,"
Sat, Jun 24 / 3:00 PM EDT / Main Card
",Women's Flyweight Bout,Amanda Ribas,Maycee Barber,Australia,United States
Emmett vs Topuria,"
Sat, Jun 24 / 3:00 PM EDT / Main Card
",Featherweight Bout,Josh Emmett,Ilia Topuria,United States,United States
Vettori vs Cannonier,"
Sat, Jun 17 / 10:00 PM EDT / Main Card
",Light Heavyweight Bout,Zac Pauga,Modestas Bukauskas,United States,Italy
Vettori vs Cannonier,"
Sat, Jun 17 / 10:00 PM EDT / Main Card
",Bantamweight Bout,Dan Argueta,Ronnie Lawrence,Brazil,Armenia
Vettori vs Cannonier,"
Sat, Jun 17 / 10:00 PM EDT / Main Card
",Women's Flyweight Bout,Tereza Bleda,Gabriella Fernandes,United Kingdom,Armenia
Vettori vs Cannonier,"
Sat, Jun 17 / 10:00 PM EDT / Main Card
",Flyweight Bout,Carlos Hernandez,Denys Bondar,Brazil,United States
Vettori vs Cannonier,"
Sat, Jun 17 / 10:00 PM EDT / Main Card
",Bantamweight Bout,Kyung Ho Kang,Cristian Quiñonez,Brazil,Mexico
Vettori vs Cannonier,"
Sat, Jun 17 / 10:00 PM EDT / Main Card
",Flyweight Bout,Jimmy Flick,Alessandro Costa,Russia,Denmark
Vettori vs Cannonier,"
Sat, Jun 17 / 10:00 PM EDT / Main Card
",Welterweight Bout,Nicolas Dalby,Muslim Salikhov,Brazil,United States
Vettori vs Cannonier,"
Sat, Jun 17 / 10:00 PM EDT / Main Card
",Lightweight Bout,Manuel Torres,Nikolas Motta,Mexico,South Korea
Vettori vs Cannonier,"
Sat, Jun 17 / 10:00 PM EDT / Main Card
",Featherweight Bout,Pat Sabatini,Lucas Almeida,Ukraine,United States
Vettori vs Cannonier,"
Sat, Jun 17 / 10:00 PM EDT / Main Card
",Middleweight Bout,Armen Petrosyan,Christian Leroy Duncan,Brazil,Czechia
Vettori vs Cannonier,"
Sat, Jun 17 / 10:00 PM EDT / Main Card
",Lightweight Bout,Arman Tsarukyan,Joaquim Silva,United States,United States
Vettori vs Cannonier,"
Sat, Jun 17 / 10:00 PM EDT / Main Card
",Middleweight Bout,Marvin Vettori,Jared Cannonier,Lithuania,United States
Nunes vs Aldana,"
Sat, Jun 10 / 10:00 PM EDT / Main Card
",Women's Strawweight Bout,Diana Belbita,Maria Oliveira,Mexico,Brazil
Nunes vs Aldana,"
Sat, Jun 10 / 10:00 PM EDT / Main Card
",Flyweight Bout,David Dvorak,Steve Erceg,United States,Brazil
Nunes vs Aldana,"
Sat, Jun 10 / 10:00 PM EDT / Main Card
",Featherweight Bout,Kyle Nelson,Blake Bilder,United States,Canada
Nunes vs Aldana,"
Sat, Jun 10 / 10:00 PM EDT / Main Card
",Bantamweight Bout,Aiemann Zahabi,Aoriqileng,United States,United States
Nunes vs Aldana,"
Sat, Jun 10 / 10:00 PM EDT / Main Card
",Women's Flyweight Bout,Miranda Maverick,Jasmine Jasudavicius,United States,Canada
Nunes vs Aldana,"
Sat, Jun 10 / 10:00 PM EDT / Main Card
",Middleweight Bout,Nassourdine Imavov,Chris Curtis,United States,France
Nunes vs Aldana,"
Sat, Jun 10 / 10:00 PM EDT / Main Card
",Middleweight Bout,Marc-Andre Barriault,Eryk Anders,Canada,United States
Nunes vs Aldana,"
Sat, Jun 10 / 10:00 PM EDT / Main Card
",Featherweight Bout,Dan Ige,Nate Landwehr,China,Canada
Nunes vs Aldana,"
Sat, Jun 10 / 10:00 PM EDT / Main Card
",Welterweight Bout,Mike Malott,Adam Fugitt,United States,Canada
Nunes vs Aldana,"
Sat, Jun 10 / 10:00 PM EDT / Main Card
",Lightweight Bout,Charles Oliveira,Beneil Dariush,Australia,Czechia
Nunes vs Aldana,"
Sat, Jun 10 / 10:00 PM EDT / Main Card
",Women's Bantamweight Title Bout,Amanda Nunes,Irene Aldana,Brazil,Romania
France vs Albazi,"
Sat, Jun 3 / 9:00 PM EDT / Main Card
",Light Heavyweight Bout,Philipe Lins,Max Grishin,Iraq,New Zealand
France vs Albazi,"
Sat, Jun 3 / 9:00 PM EDT / Main Card
",Bantamweight Bout,Da'Mon Blackshear,Luan Lacerda,United States,United States
France vs Albazi,"
Sat, Jun 3 / 9:00 PM EDT / Main Card
",Women's Strawweight Bout,Elise Reed,Jinh Yu Frey,United States,United States
France vs Albazi,"
Sat, Jun 3 / 9:00 PM EDT / Main Card
",Lightweight Bout,Jamie Mullarkey,Muhammad Naimov,Mexico,United States
France vs Albazi,"
Sat, Jun 3 / 9:00 PM EDT / Main Card
",Bantamweight Bout,John Castaneda,Muin Gafurov,Brazil,Brazil
France vs Albazi,"
Sat, Jun 3 / 9:00 PM EDT / Main Card
",Heavyweight Bout,Andrei Arlovski,Dontale Mayes,Brazil,Russia
France vs Albazi,"
Sat, Jun 3 / 9:00 PM EDT / Main Card
",Bantamweight Bout,Daniel Santos,Johnny Munoz,United States,Brazil
France vs Albazi,"
Sat, Jun 3 / 9:00 PM EDT / Main Card
",Welterweight Bout,Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,United States,United States
France vs Albazi,"
Sat, Jun 3 / 9:00 PM EDT / Main Card
",Women's Flyweight Bout,Karine Silva,Ketlen Souza,Tajikistan,United States
France vs Albazi,"
Sat, Jun 3 / 9:00 PM EDT / Main Card
",Flyweight Bout,Tim Elliott,Victor Altamirano,Tajikistan,Australia
France vs Albazi,"
Sat, Jun 3 / 9:00 PM EDT / Main Card
",Lightweight Bout,Jim Miller,Jesse Butler,United States,United States
France vs Albazi,"
Sat, Jun 3 / 9:00 PM EDT / Main Card
",Featherweight Bout,Alex Caceres,Daniel Pineda,Brazil,United States
France vs Albazi,"
Sat, Jun 3 / 9:00 PM EDT / Main Card
",Flyweight Bout,Kai Kara-France,Amir Albazi,Russia,Brazil
Dern vs Hill,"
Sat, May 20 / 7:00 PM EDT / Main Card
",Welterweight Bout,Takashi Sato,Themba Gorimbo,United States,Brazil
Dern vs Hill,"
Sat, May 20 / 7:00 PM EDT / Main Card
",Women's Flyweight Bout,Natalia Silva,Victoria Leonardo,United States,United States
Dern vs Hill,"
Sat, May 20 / 7:00 PM EDT / Main Card
",Lightweight Bout,Chase Hooper,Nick Fiore,Mexico,United States
Dern vs Hill,"
Sat, May 20 / 7:00 PM EDT / Main Card
",Heavyweight Bout,Ilir Latifi,Rodrigo Nascimento,United States,Portugal
Dern vs Hill,"
Sat, May 20 / 7:00 PM EDT / Main Card
",Welterweight Bout,Orion Cosce,Gilbert Urbina,United States,Brazil
Dern vs Hill,"
Sat, May 20 / 7:00 PM EDT / Main Card
",Women's Strawweight Bout,Karolina Kowalkiewicz,Vanessa Demopoulos,Russia,China
Dern vs Hill,"
Sat, May 20 / 7:00 PM EDT / Main Card
",Lightweight Bout,Maheshate,Viacheslav Borshchev,United States,Poland
Dern vs Hill,"
Sat, May 20 / 7:00 PM EDT / Main Card
",Lightweight Bout,Diego Ferreira,Michael Johnson,United States,United States
Dern vs Hill,"
Sat, May 20 / 7:00 PM EDT / Main Card
",Welterweight Bout,Andre Fialho,Joaquin Buckley,Brazil,Albania
Dern vs Hill,"
Sat, May 20 / 7:00 PM EDT / Main Card
",Catchweight Bout,Emily Ducote,Loopy Godinez,United States,United States
Dern vs Hill,"
Sat, May 20 / 7:00 PM EDT / Main Card
",Middleweight Bout,Edmen Shahbazyan,Anthony Hernandez,United States,Brazil
Dern vs Hill,"
Sat, May 20 / 7:00 PM EDT / Main Card
",Women's Strawweight Bout,Mackenzie Dern,Angela Hill,Zimbabwe,Japan
Rozenstruik vs Almeida,"
Sat, May 13 / 3:00 PM EDT / Main Card
",Women's Bantamweight Bout,Jessica-Rose Clark,Tainara Lisboa,Brazil,Suriname
Rozenstruik vs Almeida,"
Sat, May 13 / 3:00 PM EDT / Main Card
",Welterweight Bout,Bryan Battle,Gabe Green ,Brazil,United States
Rozenstruik vs Almeida,"
Sat, May 13 / 3:00 PM EDT / Main Card
",Women's Flyweight Bout,Ji Yeon Kim,Mandy Böhm ,Ireland,United States
Rozenstruik vs Almeida,"
Sat, May 13 / 3:00 PM EDT / Main Card
",Catchweight Bout,Cody Stamann,Douglas Silva de Andrade,Ukraine,New Zealand
Rozenstruik vs Almeida,"
Sat, May 13 / 3:00 PM EDT / Main Card
",Heavyweight Bout,Karl Williams,Chase Sherman,United States,United States
Rozenstruik vs Almeida,"
Sat, May 13 / 3:00 PM EDT / Main Card
",Welterweight Bout,Matt Brown,Court McGee,United States,United States
Rozenstruik vs Almeida,"
Sat, May 13 / 3:00 PM EDT / Main Card
",Welterweight Bout,Tim Means,Alex Morono,United States,United States
Rozenstruik vs Almeida,"
Sat, May 13 / 3:00 PM EDT / Main Card
",Light Heavyweight Bout,Carlos Ulberg,Ihor Potieria,Brazil,United States
Rozenstruik vs Almeida,"
Sat, May 13 / 3:00 PM EDT / Main Card
",Welterweight Bout,Daniel Rodriguez,Ian Machado Garry,Germany,South Korea
Rozenstruik vs Almeida,"
Sat, May 13 / 3:00 PM EDT / Main Card
",Light Heavyweight Bout,Anthony Smith,Johnny Walker,United States,United States
Rozenstruik vs Almeida,"
Sat, May 13 / 3:00 PM EDT / Main Card
",Heavyweight Bout,Jairzinho Rozenstruik,Jailton Almeida,Brazil,Australia
Sterling vs Cejudo,"
Sat, May 6 / 10:00 PM EDT / Main Card
",Middleweight Bout,Joseph Holmes,Claudio Ribeiro,United States,Jamaica
Sterling vs Cejudo,"
Sat, May 6 / 10:00 PM EDT / Main Card
",Middleweight Bout,Phil Hawes,Ikram Aliskerov,Brazil,United States
Sterling vs Cejudo,"
Sat, May 6 / 10:00 PM EDT / Main Card
",Heavyweight Bout,Braxton Smith,Parker Porter,China,Brazil
Sterling vs Cejudo,"
Sat, May 6 / 10:00 PM EDT / Main Card
",Women's Strawweight Bout,Marina Rodriguez,Virna Jandiroba,Brazil,Russia
Sterling vs Cejudo,"
Sat, May 6 / 10:00 PM EDT / Main Card
",Welterweight Bout,Khaos Williams,Rolando Bedoya,Canada,Brazil
Sterling vs Cejudo,"
Sat, May 6 / 10:00 PM EDT / Main Card
",Light Heavyweight Bout,Kennedy Nzechukwu,Devin Clark,United States,United States
Sterling vs Cejudo,"
Sat, May 6 / 10:00 PM EDT / Main Card
",Lightweight Bout,Drew Dober,Matt Frevola,United States,Nigeria
Sterling vs Cejudo,"
Sat, May 6 / 10:00 PM EDT / Main Card
",Featherweight Bout,Kron Gracie,Charles Jourdain,Peru,United States
Sterling vs Cejudo,"
Sat, May 6 / 10:00 PM EDT / Main Card
",Featherweight Bout,Movsar Evloev,Diego Lopes,Brazil,Brazil
Sterling vs Cejudo,"
Sat, May 6 / 10:00 PM EDT / Main Card
",Women's Strawweight Bout,Jessica Andrade,Yan Xiaonan,United States,United States
Sterling vs Cejudo,"
Sat, May 6 / 10:00 PM EDT / Main Card
",Welterweight Bout,Belal Muhammad,Gilbert Burns,Russia,United States
Sterling vs Cejudo,"
Sat, May 6 / 10:00 PM EDT / Main Card
",Bantamweight Title Bout,Aljamain Sterling,Henry Cejudo,Brazil,United States
Song vs Simon,"
Sat, Apr 29 / 7:00 PM EDT / Main Card
",Women's Bantamweight Bout,Hailey Cowan,Jamey-Lyn Horth,United States,China
Song vs Simon,"
Sat, Apr 29 / 7:00 PM EDT / Main Card
",Bantamweight Bout,Journey Newson,Marcus McGhee,Poland,Brazil
Song vs Simon,"
Sat, Apr 29 / 7:00 PM EDT / Main Card
",Women's Bantamweight Bout,Stephanie Egger,Irina Alekseeva,United States,Brazil
Song vs Simon,"
Sat, Apr 29 / 7:00 PM EDT / Main Card
",Flyweight Bout,Cody Durden,Charles Johnson,Mexico,United States
Song vs Simon,"
Sat, Apr 29 / 7:00 PM EDT / Main Card
",Heavyweight Bout,Martin Buday,Jake Collier,Dominican Republic,Brazil
Song vs Simon,"
Sat, Apr 29 / 7:00 PM EDT / Main Card
",Welterweight Bout,Josh Quinlan,Trey Waters,United States,United States
Song vs Simon,"
Sat, Apr 29 / 7:00 PM EDT / Main Card
",Heavyweight Bout,Marcos Rogerio de Lima,Waldo Cortes Acosta,United States,Slovakia
Song vs Simon,"
Sat, Apr 29 / 7:00 PM EDT / Main Card
",Featherweight Bout,Julian Erosa,Fernando Padilla,United States,United States
Song vs Simon,"
Sat, Apr 29 / 7:00 PM EDT / Main Card
",Middleweight Bout,Rodolfo Vieira,Cody Brundage,Russia,Switzerland
Song vs Simon,"
Sat, Apr 29 / 7:00 PM EDT / Main Card
",Middleweight Bout,Caio Borralho,Michal Oleksiejczuk,United States,United States
Song vs Simon,"
Sat, Apr 29 / 7:00 PM EDT / Main Card
",Bantamweight Bout,Song Yadong,Ricky Simon,Canada,United States
Pavlovich vs Blaydes,"
Sat, Apr 22 / 7:00 PM EDT / Main Card
",Bantamweight Bout,Brady Hiestand,Batgerel Danaa,United States,Russia
Pavlovich vs Blaydes,"
Sat, Apr 22 / 7:00 PM EDT / Main Card
",Featherweight Bout,Francis Marshall,William Gomis,Brazil,United States
Pavlovich vs Blaydes,"
Sat, Apr 22 / 7:00 PM EDT / Main Card
",Heavyweight Bout,Mohammed Usman,Junior Tafa,United States,United States
Pavlovich vs Blaydes,"
Sat, Apr 22 / 7:00 PM EDT / Main Card
",Women's Featherweight Bout,Karol Rosa,Norma Dumont,Guam,Brazil
Pavlovich vs Blaydes,"
Sat, Apr 22 / 7:00 PM EDT / Main Card
",Bantamweight Bout,Rani Yahya,Montel Jackson,United States,United States
Pavlovich vs Blaydes,"
Sat, Apr 22 / 7:00 PM EDT / Main Card
",Lightweight Bout,Ricky Glenn,Christos Giagos,United States,United States
Pavlovich vs Blaydes,"
Sat, Apr 22 / 7:00 PM EDT / Main Card
",Welterweight Bout,Jeremiah Wells,Matthew Semelsberger,United States,Brazil
Pavlovich vs Blaydes,"
Sat, Apr 22 / 7:00 PM EDT / Main Card
",Women's Flyweight Bout,Iasmin Lucindo,Brogan Walker,Brazil,Brazil
Pavlovich vs Blaydes,"
Sat, Apr 22 / 7:00 PM EDT / Main Card
",Lightweight Bout,Bobby Green,Jared Gordon,Australia,Nigeria
Pavlovich vs Blaydes,"
Sat, Apr 22 / 7:00 PM EDT / Main Card
",Middleweight Bout,Brad Tavares,Bruno Silva,France,United States
Pavlovich vs Blaydes,"
Sat, Apr 22 / 7:00 PM EDT / Main Card
",Heavyweight Bout,Sergei Pavlovich,Curtis Blaydes,Mongolia,United States
Holloway vs Allen,"
Sat, Apr 15 / 8:30 PM EDT / Main Card
",Women's Bantamweight Bout,Joselyne Edwards,Lucie Pudilova,England,United States
Holloway vs Allen,"
Sat, Apr 15 / 8:30 PM EDT / Main Card
",Bantamweight Bout,Aaron Phillips,Gaston Bolanos,United States,Brazil
Holloway vs Allen,"
Sat, Apr 15 / 8:30 PM EDT / Main Card
",Women's Strawweight Bout,Bruna Brasil,Denise Gomes,Russia,United States
Holloway vs Allen,"
Sat, Apr 15 / 8:30 PM EDT / Main Card
",Lightweight Bout,Lando Vannata,Daniel Zellhuber,Moldova,Canada
Holloway vs Allen,"
Sat, Apr 15 / 8:30 PM EDT / Main Card
",Women's Strawweight Bout,Gillian Robertson,Piera Rodriguez,United States,Brazil
Holloway vs Allen,"
Sat, Apr 15 / 8:30 PM EDT / Main Card
",Light Heavyweight Bout,Zak Cummings,Ed Herman,Mexico,United States
Holloway vs Allen,"
Sat, Apr 15 / 8:30 PM EDT / Main Card
",Flyweight Bout,Brandon Royval,Matheus Nicolau,United States,United States
Holloway vs Allen,"
Sat, Apr 15 / 8:30 PM EDT / Main Card
",Featherweight Bout,Bill Algeo,TJ Brown,Brazil,United States
Holloway vs Allen,"
Sat, Apr 15 / 8:30 PM EDT / Main Card
",Lightweight Bout,Clay Guida,Rafa Garcia,United States,United States
Holloway vs Allen,"
Sat, Apr 15 / 8:30 PM EDT / Main Card
",Bantamweight Bout,Pedro Munhoz,Chris Gutierrez,Venezuela,Canada
Holloway vs Allen,"
Sat, Apr 15 / 8:30 PM EDT / Main Card
",Light Heavyweight Bout,Tanner Boser,Ion Cutelaba,Mexico,United States
Holloway vs Allen,"
Sat, Apr 15 / 8:30 PM EDT / Main Card
",Light Heavyweight Bout,Dustin Jacoby,Azamat Murzakanov,Brazil,Brazil
Holloway vs Allen,"
Sat, Apr 15 / 8:30 PM EDT / Main Card
",Featherweight Bout,Edson Barboza,Billy Quarantillo,Peru,United States
Holloway vs Allen,"
Sat, Apr 15 / 8:30 PM EDT / Main Card
",Featherweight Bout,Max Holloway,Arnold Allen,Czechia,Panama
Pereira vs Adesanya 2,"
Sat, Apr 8 / 10:00 PM EDT / Main Card
",Women's Strawweight Bout,Jaqueline Amorim,Sam Hughes,Nigeria,Brazil
Pereira vs Adesanya 2,"
Sat, Apr 8 / 10:00 PM EDT / Main Card
",Featherweight Bout,Shayilan Nuerdanbieke,Steve Garcia,United States,Brazil
Pereira vs Adesanya 2,"
Sat, Apr 8 / 10:00 PM EDT / Main Card
",Catchweight Bout,Ignacio Bahamondes,Trey Ogden,United States,Puerto Rico
